trial_idx,hash,type,short_name,movie_name,label,is_natural
0,+rgSVBVRE8Ij1WNhq8ZW,Monet2,UNKNOWN,UNKNOWN,Monet2,False
1,clN4ica4q7huSnWVFTFi,Monet2,UNKNOWN,UNKNOWN,Monet2,False
2,C5hAAKaj+g6YG4esiJEj,Monet2,UNKNOWN,UNKNOWN,Monet2,False
3,y0V02oJX710Fs1liZdZ3,Monet2,UNKNOWN,UNKNOWN,Monet2,False
4,J4PH3ez0PBmcINVwekyF,Clip,sports1m,2011 KIA X-GAME Aggressive Inline VERT Final,Sports1M,True
5,n2kq4Nv6UNm4wJbdtuHM,Clip,sports1m,2010 WORLDS Justin Ruiz (USA) dec Richard Karelson (EST) 96 kg GR,Sports1M,True
6,iYxs1vPwdSenUzRva/I3,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True
7,N1Sn679rCW0XsG5S7c/C,Clip,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),Cinematic,True
8,jlM0Ornu8Dw2nAXCwego,Clip,Rendered,mountainlake_047-1-0-70-0_54.89.40.102,Rendered,True
9,iXM+aZY10zP+t3wPmZOW,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True
10,JNYUnhFvI0mZbwN58E20,Clip,Rendered,swamp_124-1-11-70-0_34.239.124.192,Rendered,True
11,7keiPs7vk9CHNrtDuOxL,Clip,sports1m,2012 July 17 Midweek MTB Deer Valley Silver Lake Lodge XC Race (Stabilized),Sports1M,True
12,t24nBc6mpih4DR5C/qVP,Clip,Rendered,subway_016-1-3-70-0_52.205.253.179,Rendered,True
13,JzIVwvytTHCEhcYc0EkS,Clip,sports1m,2012 UNIV WORLDS Stenberg (USA) dec Sasunouski (BLR) 84 kg Greco bout,Sports1M,True
14,shDuGRZylVmZLCBFIVeP,Clip,sports1m,2011 July 23 ICUP Solitude XC Mountain Bike Race,Sports1M,True
15,ysjy6YgGXX5+mcx52KSM,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True
16,bKnOzTbZRquPibCBnpIr,Clip,sports1m,2011 SYNERGY NYP-ADC Adventure Race mpg,Sports1M,True
17,ij613vKaxSg15IdRX0Jr,Clip,sports1m,1 of 5 - 2011 True Grit Epic Endurance Mountain Bike Race,Sports1M,True
18,bzYQv9E7gNZAHhK7rLoP,Clip,Cinematic,The Matrix Revolutions (2003),Cinematic,True
19,huhM2olRohVdFEjIXHvM,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True
20,rRSIiDWWtsgGPTMouaQ3,Clip,Cinematic,Koyaanisqatsi: Life Out of Balance (1982),Cinematic,True
21,l1XFk1yC3pe9aiiL13v0,Clip,Rendered,ancienttomb_028-1-4-70-0_34.203.243.27,Rendered,True
22,18eMnxZfes1DRZ74TlDv,Clip,sports1m,2010 WORLDS Faruk Sahin (USA) dec Tomasz Swierk (POL) 66 kg GR,Sports1M,True
23,JqA7wS3q2Kn+1YNF7DHX,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True
24,gmO6YFzE4hRl0ywoUqBG,Clip,Cinematic,Naqoyqatsi: Life as War (2002),Cinematic,True
25,rmx11ZrkQ69WYuWCa6OG,Clip,sports1m,2010 WORLDS Justin Ruiz (USA) dec Richard Karelson (EST) 96 kg GR,Sports1M,True
26,CBYizwCQrgS8NFXO8yCv,Clip,sports1m,2012 USCS Lambert Park XC Mountain Bike Race (Stabilized),Sports1M,True
27,KnDvit0pBDmQRzkXW2YQ,Clip,Rendered,run29-templeInterior-1-0,Rendered,True
28,s2VX1P64OaQWjfTqaQVu,Clip,sports1m,2011 July 2 ICUP Dutch Hollow XC Mountain Bike Race,Sports1M,True
29,NHilz50GBi7DluqHimfb,Clip,sports1m,2011 July 23 ICUP Solitude XC Mountain Bike Race,Sports1M,True
30,H6Ryy52suyFqvu1FUp0M,Clip,Rendered,mountainlake_013-1-0-70-0_54.210.37.143,Rendered,True
31,nsn+wHiYQrIGbANq/P+e,Clip,sports1m,1-13-05,Sports1M,True
32,5fhe7UWYv0iBRStvDmYA,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True
33,x6gdY7lDr0PBRAmoZ7xZ,Clip,sports1m,2011 June 25 USCS Round Valley XC Mountain Bike Race,Sports1M,True
34,7UETOWO5Z8aWuHDBJ2GG,Clip,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),Cinematic,True
35,GjCMo2GkJp6y5vricadg,Clip,Rendered,americandiner_005-1-5-70-0_54.165.28.255,Rendered,True
36,ecUQJtcERZJGdqza1k7h,Clip,sports1m,2009 Krugers Cross Singlespeed Cyclocross Race - Helmet Cam,Sports1M,True
37,Oup5uAZxF2G7zEJkT+ui,Clip,sports1m,2012 USA Basketball vs The Dream Team 1992 USA Basketball - NBA 2K13,Sports1M,True
38,KXdTNAGMo1gCWz2Ge8zr,Clip,Rendered,run82-ancientTomb-1-0,Rendered,True
39,5zQTb77qI+ig8rigx1XU,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True
40,GHn0W57E+2PS+Qr5yD2r,Monet2,UNKNOWN,UNKNOWN,Monet2,False
41,r0VcC+qQ8ryFTuygzDhJ,Monet2,UNKNOWN,UNKNOWN,Monet2,False
42,YLuStB2eXkgOS+Cescsy,Monet2,UNKNOWN,UNKNOWN,Monet2,False
43,yv/S61fYnDSQcA9J6Nk8,Monet2,UNKNOWN,UNKNOWN,Monet2,False
44,zcz9H/fzww6BdAJTTzoe,Trippy,UNKNOWN,UNKNOWN,Trippy,False
45,dQPCwE5HX7SBDS0Wc3w9,Trippy,UNKNOWN,UNKNOWN,Trippy,False
46,ZJvulWBItHtLlDVkIntm,Trippy,UNKNOWN,UNKNOWN,Trippy,False
47,UY8khpFa2sqZzvAh12RT,Trippy,UNKNOWN,UNKNOWN,Trippy,False
48,Mg5bLgoNvze3EPLB9rbZ,Clip,sports1m,2011 KIA X-GAME Aggressive Inline VERT Final,Sports1M,True
49,yfFAPn1QpVQmEC2iXg07,Clip,Rendered,swamp_103-1-11-70-0_54.162.127.170,Rendered,True
50,fSfoxctVyPEoVzFOpsAw,Clip,Rendered,ancienttomb_068-1-4-70-0_34.239.124.192,Rendered,True
51,5Q4+LRPdnmpiazfLNOdJ,Clip,Rendered,mountainlake_006-1-0-70-0_184.73.123.94,Rendered,True
52,EyGfkWSsxEsE8f3GX5Ox,Clip,Rendered,lowpolyjungle_079-1-9-70-0_52.87.152.28,Rendered,True
53,Lp/pttdcIH1AZsCOGZuG,Clip,Cinematic,Naqoyqatsi: Life as War (2002),Cinematic,True
54,ubOIjeUGbsNAJqMPIDqU,Clip,Rendered,mountainlake_066-1-0-70-0_54.205.66.32,Rendered,True
55,ihsP/Q14/eSpxdQLR3F4,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True
56,ClffawlgRfZbgKwX6zRB,Clip,Rendered,ancienttomb_100-1-4-70-0_54.209.141.225,Rendered,True
57,aedxogPGpb5IiLcjLo8c,Clip,sports1m,2012 January 28 Frozen Hog Snow Mountain Bike Race,Sports1M,True
58,3wXTReOQa7mnr6Oz8aUf,Clip,sports1m,2012 May 28 ICUP 7th Annual Stan Crane Memorial XC Mountain Bike Race,Sports1M,True
59,0eP/PPhAGmbJ2peZOa/E,Clip,Rendered,ancienttomb_105-1-4-70-0_54.89.40.102,Rendered,True
60,U6NqQRL+v/N/9xnLSH2y,Trippy,UNKNOWN,UNKNOWN,Trippy,False
61,neZdD9txt8zyOy4xDHzL,Trippy,UNKNOWN,UNKNOWN,Trippy,False
